_id,action,data,raw,time,user
wnsFRmKv5R9GpTTw9,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT'}","{""query"":{""$and"":[{},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765574156.0,-2110079241
paGBfcB3kMHudG4xT,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599765840438.9998,-2110079241
GrMfr7qF3P2tSuNjC,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599765840448.9998,-2110079241
DpGw2Sd26X6gHba7q,user justification,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Check information about roadnav.exe', 'reasoningSelect': 'Just exploring the data'}","""{\""reasoningText\"":\""Check information about roadnav.exe\"",\""reasoningSelect\"":\""Just exploring the data\"",\""searchText\"":\""Any Document mentioning \\\""roadnav.exe\\\"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT\""}""",1599765881580.9998,-2110079241
xzyahJvSsuxquvqm6,search,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Check information about roadnav.exe', 'reasoningSelect': 'Just exploring the data'}","{""query"":{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765881589.0002,-2110079241
RrZtNissAqjrHSd8Y,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599765881610.9998,-2110079241
B9ai5C6so8ywoh4C2,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599765881613.0,-2110079241
kLGLn48eLfP6xDqpi,search,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Check information about roadnav.exe', 'reasoningSelect': 'Just exploring the data'}","{""query"":{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765881614.0002,-2110079241
gcwMNereQQYRtp2HM,open modal,"{'_id': {'$oid': '5f109cbf6e8bb4f66633b21d'}, 'Body': ""Roadeez Employee Interview\nConducted by Boston Police Department\n\nEmployee Name: Daryl\nJob Description: Lead Developer\nGender: Man\nAge: 31\nCitizenship: USA\n\nQ: What is your role in the company?\nA: I am the original programmer of roadnav.exe, the proprietary software that was stolen. I do most of the updates, with some help from my intern, Xin.\n\nQ: What systems do you have access to?\nA: I have access to the software server.\n\nQ: Is there anyone you suspect of stealing the software?\nA: I think it might have been Xin. I've always found her a little suspicious."", 'Destination': '', 'Discovered': 'True', 'Document Source': 'Web', 'Document Type': 'Information', 'End Time': 2147483647, 'Importance': 0, 'Keyword': 'daryl interview RoadNav.exe Road Nav police lead developer software server police Roadeez updates', 'Name': 'daryl_interview.pdf', 'Origin': '', 'Person': 'Daryl', 'Receiver': '', 'Sender': '', 'Start Time': 1588564800, 'Title': 'Police Interview: Daryl'}",{},1599765888790.0,-2110079241
rSND7o7vYPJ9MdPgi,save search,"{'strings': {'Name': 'daryl_interview.pdf'}, 'selects': {}, 'times': {}, 'locations': {}, 'flags': {}, 'readable': 'Saved Document: daryl_interview.pdf - Police Interview: Daryl'}","{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}",1599765926378.0,-2110079241
