UserID,Timestamp,EventType,DocumentName,DocumentType,Source,Keywords,People,Sender,Receiver,StartTime,EndTime,Origin,Destination,ReasoningText,ReasoningSelect,InnocentOrGuilty,Suspect
311605230,1599766041944.0,read,calendar_67602,Calendar Entry,Anna's Computer,Xin trade show RoadBlock Road Bloc attending San Francisco Tuesday Thursday,Xin,,,1588680000,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 37.78401, 'lon': -122.400711, 'city': 'San Francisco', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766043479.0,read,server_log_0005.log,Network Log,From Roadeez Software Server,uploaded RoadNav.exe road nav exe xin,Xin,,,1588626000,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': ""Xin's Computer""}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}",N/A,N/A,N/A,N/A
311605230,1599766045584.0,read,calendar_89006,Calendar Entry,Anna's Computer,Daryl california pizza Karikampani launch product party,Daryl,,,1588813200,,"{'lat': 37.7863215, 'lon': -122.402286, 'city': 'San Francisco', 'Country': 'USA'}","{'lat': 37.7863215, 'lon': -122.402286, 'city': 'San Francisco', 'Country': 'USA'}",N/A,N/A,N/A,N/A
-2110079241,1599766058620.9998,save,server_log_0005.log,Any,Any,,,,,,,,,Xin uploaded the software too,Rejects my hypothesis,N/A,N/A
-2110079241,1599766062408.0,read,xin_interview.pdf,Information,Web,xin interview RoadNav.exe Road Nav police developer intern software server Roadeez intern software,Xin,,,1588564800,,,,N/A,N/A,N/A,N/A
1805570777,1599766063404.0,save,michelle_interview.pdf,Any,Any,,,,,,,,,Michelle doesn't really have a reason to download the software. Definitely suspicious. ,Confirms my hypothesis,N/A,N/A
311605230,1599766063829.0,read,calendar_88000,Calendar Entry,Anna's Computer,Daryl Xin standup scrum software meeting,Daryl Xin,,,1588597200,,"{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}","{'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA'}",N/A,N/A,N/A,N/A
1805570777,1599766067511.0002,assign,michelle_interview.pdf,Any,Any,,,,,,,,,Michelle doesn't really have a reason to download the software. Definitely suspicious. ,Confirms my hypothesis,Guilty,Michelle
1805570777,1599766069315.9998,assign,michelle_interview.pdf,Any,Any,,,,,,,,,Michelle doesn't really have a reason to download the software. Definitely suspicious. ,Confirms my hypothesis,Guilty,Michelle
1805570777,1599766073039.0,assign,server_log_0004.log,Any,Any,,,,,,,,,"Michelle downloaded RoadNav.exe, is this normal? ",I'm saving this search to come back to later.,Guilty,Michelle
