_id,action,data,raw,time,user
2vQ4wD5X8Wy6paqbW,search,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Looking for anything that mentions roadnav.', 'reasoningSelect': 'Looking for a specific document or specific information'}","{""query"":{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766657034.0,-1105628286
mEfH5zYy8Kpj6x7rP,open modal,"{'_id': {'$oid': '5f109cbf6e8bb4f66633b1df'}, 'Body': 'Daryl uploaded RoadNav.exe', 'Destination': {'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}, 'Discovered': 'True', 'Document Source': 'From Roadeez Software Server', 'Document Type': 'Network Log', 'End Time': 1588811160, 'Importance': 0, 'Keyword': 'uploaded RoadNav.exe road nav roadnav.exe exe daryl', 'Name': 'server_log_0015.log', 'Origin': {'lat': 37.78401, 'lon': -122.400711, 'city': 'San Francisco', 'Country': 'USA', 'server': ""Daryl's Laptop""}, 'Person': 'Daryl', 'Receiver': '', 'Sender': '', 'Start Time': 1588811160, 'Title': 'RoadNav.exe uploaded to Software Server'}",{},1599766665737.0,-1105628286
tk8gextdue6PNX8pj,open modal,"{'_id': {'$oid': '5f109cbf6e8bb4f66633b232'}, 'Body': 'Daryl downloaded RoadNav.exe', 'Destination': {'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': ""Daryl's Computer""}, 'Discovered': 'True', 'Document Source': 'From Roadeez Software Server', 'Document Type': 'Network Log', 'End Time': 1588676400, 'Importance': 0, 'Keyword': 'downloaded RoadNav.exe road nav exe', 'Name': 'server_log_0010.log', 'Origin': {'lat': 42.375345, 'lon': -71.146649, 'city': 'Boston', 'Country': 'USA', 'server': 'Roadeez Software Server'}, 'Person': 'Daryl', 'Receiver': '', 'Sender': '', 'Start Time': 1588676400, 'Title': ""RoadNav.exe downloaded to Daryl's Computer""}",{},1599766672100.0,-1105628286
yeDdwEaPf3DQb2JtY,save search,"{'strings': {'Name': 'server_log_0010.log'}, 'selects': {}, 'times': {}, 'locations': {}, 'flags': {}, 'readable': ""Saved Document: server_log_0010.log - RoadNav.exe downloaded to Daryl's Computer""}","{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}",1599766673489.0,-1105628286
8PXpKwZsRJqtM8Xvo,save important document,"{'strings': {'Name': 'server_log_0010.log'}, 'selects': {}, 'times': {}, 'locations': {}, 'flags': {}, 'readable': ""Saved Document: server_log_0010.log - RoadNav.exe downloaded to Daryl's Computer"", 'type': 'save important document'}","{""strings"":{""Name"":""server_log_0010.log""},""selects"":{},""times"":{},""locations"":{},""flags"":{},""readable"":""Saved Document: server_log_0010.log - RoadNav.exe downloaded to Daryl's Computer"",""type"":""save important document""}",1599766673491.0,-1105628286
qmf8JuXdck274AxNr,user justification,"{'strings': {'Name': 'server_log_0010.log'}, 'selects': {}, 'times': {}, 'locations': {}, 'flags': {}, 'readable': ""Saved Document: server_log_0010.log - RoadNav.exe downloaded to Daryl's Computer"", 'type': 'save important document', 'reasoningText': 'Daryl downloaded the software again? Is this suspicious?', 'reasoningSelect': 'Confirms my hypothesis'}","""{\""reasoningText\"":\""Daryl downloaded the software again? Is this suspicious?\"",\""reasoningSelect\"":\""Confirms my hypothesis\"",\""searchText\"":\""Saved Document: server_log_0010.log - RoadNav.exe downloaded to Daryl's Computer\""}""",1599766685286.9998,-1105628286
ednfZLHBh2vYc9NCr,switch tabs,{'tab': 'savedSearch'},"""{\""tab\"":\""savedSearch\""}""",1599766685331.0,-1105628286
LpkwnLFDwebnQKYhG,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599766687157.0,-1105628286
TbKgTeaq8jeCevDwL,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599766687159.0,-1105628286
hwxaL4cEDvmuvxu7X,search,"{'strings': {'Name': '', 'Keyword': 'roadnav.exe', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document mentioning ""roadnav.exe"" happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'Looking for anything that mentions roadnav.', 'reasoningSelect': 'Looking for a specific document or specific information'}","{""query"":{""$and"":[{""Keyword"":""/roadnav.exe/i"",""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599766687159.0,-1105628286
