_id,action,data,raw,time,user
sNZd6zLM6hqDLu934,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599765752944.0002,1805570777
vDscfgnKjYkTxEh2z,switch tabs,{'tab': 'search'},"""{\""tab\"":\""search\""}""",1599765752950.0,1805570777
u8XYaeKZu24yQqM9G,user justification,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to see all of the documents. Maybe I can look through them manually. ', 'reasoningSelect': 'Just exploring the data'}","""{\""reasoningText\"":\""I want to see all of the documents. Maybe I can look through them manually. \"",\""reasoningSelect\"":\""Just exploring the data\"",\""searchText\"":\""Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT\""}""",1599765778997.0,1805570777
rM7vQ7825SmTFHhbL,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to see all of the documents. Maybe I can look through them manually. ', 'reasoningSelect': 'Just exploring the data'}","{""query"":{""$and"":[{""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765779001.0,1805570777
RfGXLW9MhpZxtLx66,switch tabs,{'tab': 'displayResults'},"""{\""tab\"":\""displayResults\""}""",1599765779016.0,1805570777
87RyNg8fY5ZbYmunB,switch display tabs,{'tab': 'displayTable'},"""{\""tab\"":\""displayTable\""}""",1599765779017.0,1805570777
vnxa92bCFX6dPzLii,search,"{'strings': {'Name': '', 'Keyword': '', 'Person': '', 'Sender': '', 'Receiver': ''}, 'selects': {'Document Type': 'Any', 'Document Source': 'Any'}, 'times': {'start': '2020-05-04T01:00:00', 'end': '2020-05-08T17:00:00'}, 'locations': {'Origin': 'Any', 'Destination': 'Any'}, 'flags': {}, 'readable': 'Any Document happening from Mon, May 4, 2020 1:00 AM EDT till Fri, May 8, 2020 5:00 PM EDT', 'type': 'search from table', 'reasoningText': 'I want to see all of the documents. Maybe I can look through them manually. ', 'reasoningSelect': 'Just exploring the data'}","{""query"":{""$and"":[{""Start Time"":{""$lte"":1588971600},""End Time"":{""$gte"":1588568400}},{""$or"":[{""Discovered"":""True""},{""_id"":{""$in"":[]}}]}]}}",1599765779018.0,1805570777
FCc24rvWutoJpZoyy,page turn,"{'visible': [{'$oid': '5f109cbf6e8bb4f66633b1c3'}, {'$oid': '5f109cbf6e8bb4f66633b1c4'}, {'$oid': '5f109cbf6e8bb4f66633b1c5'}], 'pageNumber': 18}","""[{\""_str\"":\""5f109cbf6e8bb4f66633b1c3\""},{\""_str\"":\""5f109cbf6e8bb4f66633b1c4\""},{\""_str\"":\""5f109cbf6e8bb4f66633b1c5\""}]""",1599765788752.0,1805570777
MqGJWTHg8bKzXWxon,page turn,"{'visible': [{'$oid': '5f109cbf6e8bb4f66633b21b'}, {'$oid': '5f109cbf6e8bb4f66633b21d'}, {'$oid': '5f109cbf6e8bb4f66633b21e'}, {'$oid': '5f109cbf6e8bb4f66633b21f'}, {'$oid': '5f109cbf6e8bb4f66633b220'}, {'$oid': '5f109cbf6e8bb4f66633b25e'}, {'$oid': '5f109cbf6e8bb4f66633b1e8'}, {'$oid': '5f109cbf6e8bb4f66633b205'}, {'$oid': '5f109cbf6e8bb4f66633b1d2'}, {'$oid': '5f109cbf6e8bb4f66633b1d3'}], 'pageNumber': 1}","""[{\""_str\"":\""5f109cbf6e8bb4f66633b21b\""},{\""_str\"":\""5f109cbf6e8bb4f66633b21d\""},{\""_str\"":\""5f109cbf6e8bb4f66633b21e\""},{\""_str\"":\""5f109cbf6e8bb4f66633b21f\""},{\""_str\"":\""5f109cbf6e8bb4f66633b220\""},{\""_str\"":\""5f109cbf6e8bb4f66633b25e\""},{\""_str\"":\""5f109cbf6e8bb4f66633b1e8\""},{\""_str\"":\""5f109cbf6e8bb4f66633b205\""},{\""_str\"":\""5f109cbf6e8bb4f66633b1d2\""},{\""_str\"":\""5f109cbf6e8bb4f66633b1d3\""}]""",1599765791753.0,1805570777
RjhgdGfZfHvhQFxdf,open modal,"{'_id': {'$oid': '5f109cbf6e8bb4f66633b25e'}, 'Body': ""POLICE REPORT\n\nDate: Friday, May 8, 2020\nTime: 3:00 PM\nLocation: Roadeez, Boston, MA\n\nSUMMARY: This afternoon it was discovered that sensative, proprietary software from Roadeez, a Boston self-driving car startup company, has fallen into the hands of a competitor, CARGO. It is not known how CARGO obtained the software, but it was obtained illegally. Our cyber crimes division suspects an insider attack, which means a Roadeeze employee collaborated with someone at CARGO to give them the software.\n\nWe are consulting with San Francisco Police to investigate.\n\nDATES: The crime most likely occured between the dates of Monday, May 4, 2020 and today, Friday, May 8, 2020\n\nMOTIVE: The software in question, roadnav.exe, is extremely valuable. CARGO stands to make a substantial profit while Roadeez may never recover financially.\n\nSUSPECTS: All Roadeez employees are suspects. They are:\n1. Michelle - CEO\n2. Daryl - Lead Software Engineer\n3. Xin - Software Engineer Intern\n4. Ivan - System Administrator\n5. Anna - Administrative Assistant\n\nEVIDENCE: We have obtained a collection of electronic documents from Roadeez. These documents include files from every employee's personal computer, as well as network logs from a company server and calendar entries for the week in question. We are turning these documents over for analysis."", 'Destination': '', 'Discovered': 'True', 'Document Source': 'Web', 'Document Type': 'Information', 'End Time': 2147483647, 'Importance': 0, 'Keyword': 'crime report police roadeez summary insider attack michelle ivan daryl xin anna', 'Name': 'police_report.pdf', 'Origin': '', 'Person': 'Michelle Daryl Xin Ivan Anna', 'Receiver': '', 'Sender': '', 'Start Time': 1588564800, 'Title': 'Police Report: Roadeez Insider Attack'}",{},1599765799656.0,1805570777
